Date,Weight,Calories
2016/2/17,80,1516
2016/2/18,79.5,1620
2016/2/19,79.6,1306
2016/2/20,79.2,1597
2016/2/21,79.7,1454
2016/2/22,79.6,1577
2016/2/23,79.3,1479
2016/2/24,79.5,1464
2016/2/25,79,1715
2016/2/26,79.1,1275
2016/2/27,78.8,1432
2016/2/28,78.6,1850
2016/2/29,78.9,1524
2016/3/01,79.2,1319
2016/3/02,78.5,2047
2016/3/03,78.5,1174
2016/3/04,78.5,1260
2016/3/05,78.2,1666
2016/3/06,78.2,1373
2016/3/07,77.6,1564
2016/3/08,77.8,1459
2016/3/09,78,1558
2016/3/10,78,1248
2016/3/11,77.7,1420
2016/3/12,77.5,1766
2016/3/13,77.7,1341
2016/3/14,77.5,1572
2016/3/15,77.2,1234
2016/3/16,77.1,1385
2016/3/17,77,1421
2016/3/18,77.1,2015
2016/3/19,76.9,1709
2016/3/20,77.1,1336
2016/3/21,77,1536
2016/3/22,76.5,1371
2016/3/23,76.1,1504
2016/3/24,76.3,1420
2016/3/25,76.2,1562
2016/3/26,76.6,1267
2016/3/27,76.5,1391
2016/3/28,76.4,1402
2016/3/29,76.5,1709
2016/3/30,76,1212
2016/3/31,76.4,1375
2016/4/01,76,2008
2016/4/02,75.9,1838
2016/4/03,75.6,1646
2016/4/04,75.5,1377
2016/4/05,75.4,1425
2016/4/06,75.1,1519
2016/4/07,75.2,1798
2016/4/08,75.5,1490
2016/4/09,74.9,1982
2016/4/10,74.9,1294
2016/4/11,75.3,1447
2016/4/12,75.5,1729
2016/4/13,75.2,1429
2016/4/14,74.8,1533
2016/4/15,74.7,1775
2016/4/16,75.2,2248
2016/4/17,75.4,1413
2016/4/18,74.5,1419
2016/4/19,74.5,1379
2016/4/20,74.5,1782
2016/4/21,74.4,1733
2016/4/22,74.4,1755
2016/4/23,74.5,1811
2016/4/24,74.7,1481
2016/4/25,74.9,0
